club_key,grade_key,display_name,squad_number,playhq_id
tango-netball-club-inc,amnd-winter-2000-junior-5,Tango,,archive:amnd-winter-2000:junior-5:tango-netball-club-inc:none
hallett-cove,amnd-winter-2000-junior-6,Hallett Cove,,archive:amnd-winter-2000:junior-6:hallett-cove:none
garville,amnd-winter-2000-junior-6,Garville,2,archive:amnd-winter-2000:junior-6:garville:2
norwood-netball-club,amnd-winter-2000-junior-6,Newton Jaguars,,archive:amnd-winter-2000:junior-6:norwood-netball-club:none
matrics,amnd-winter-2000-junior-6,Matrics,,archive:amnd-winter-2000:junior-6:matrics:none
adelaide-cougars,amnd-winter-2000-junior-6,Adelaide Cougars,,archive:amnd-winter-2000:junior-6:adelaide-cougars:none
woods-panthers,amnd-winter-2000-junior-6,Woods Panthers,,archive:amnd-winter-2000:junior-6:woods-panthers:none
garville,amnd-winter-2000-junior-6,Garville,1,archive:amnd-winter-2000:junior-6:garville:1
cheerio-netball-club,amnd-winter-2000-junior-6,Cheerio,,archive:amnd-winter-2000:junior-6:cheerio-netball-club:none
metro-magic,amnd-winter-2000-junior-7,Metro Magic,,archive:amnd-winter-2000:junior-7:metro-magic:none
oakdale-netball-club-sa,amnd-winter-2000-junior-7,Oakdale,,archive:amnd-winter-2000:junior-7:oakdale-netball-club-sa:none
garville,amnd-winter-2000-junior-7,Garville,,archive:amnd-winter-2000:junior-7:garville:none
clovelly-park,amnd-winter-2000-junior-7,Clovelly Park,,archive:amnd-winter-2000:junior-7:clovelly-park:none
woods-panthers,amnd-winter-2000-junior-7,Woods Panthers,,archive:amnd-winter-2000:junior-7:woods-panthers:none
glandore,amnd-winter-2000-junior-7,Glandore,,archive:amnd-winter-2000:junior-7:glandore:none
matrics,amnd-winter-2000-primary-1,Matrics,,archive:amnd-winter-2000:primary-1:matrics:none
contax,amnd-winter-2000-primary-1,Contax,,archive:amnd-winter-2000:primary-1:contax:none
harlequin,amnd-winter-2000-primary-1,Harlequin,,archive:amnd-winter-2000:primary-1:harlequin:none
oakdale-netball-club-sa,amnd-winter-2000-primary-1,Oakdale,,archive:amnd-winter-2000:primary-1:oakdale-netball-club-sa:none
cheerio-netball-club,amnd-winter-2000-primary-1,Cheerio,,archive:amnd-winter-2000:primary-1:cheerio-netball-club:none
woods-panthers,amnd-winter-2000-primary-1,Woods Panthers,,archive:amnd-winter-2000:primary-1:woods-panthers:none
adelaide-cougars,amnd-winter-2000-primary-1,Adelaide Cougars,,archive:amnd-winter-2000:primary-1:adelaide-cougars:none
norwood-netball-club,amnd-winter-2000-primary-1,Newton Jaguars,,archive:amnd-winter-2000:primary-1:norwood-netball-club:none
garville,amnd-winter-2000-primary-2,Garville,1,archive:amnd-winter-2000:primary-2:garville:1
contax,amnd-winter-2000-primary-2,Contax,,archive:amnd-winter-2000:primary-2:contax:none
meadows,amnd-winter-2000-primary-2,Meadows,,archive:amnd-winter-2000:primary-2:meadows:none
cheerio-netball-club,amnd-winter-2000-primary-2,Cheerio,,archive:amnd-winter-2000:primary-2:cheerio-netball-club:none
woods-panthers,amnd-winter-2000-primary-2,Woods Panthers,,archive:amnd-winter-2000:primary-2:woods-panthers:none
garville,amnd-winter-2000-primary-2,Garville,2,archive:amnd-winter-2000:primary-2:garville:2
tango-netball-club-inc,amnd-winter-2000-primary-2,Tango,,archive:amnd-winter-2000:primary-2:tango-netball-club-inc:none
