grade_key,club_key,squad_number,playhq_id,display_name,ladder_position,position_uncertain,played,won,drawn,lost,byes,goals_for,goals_against,goal_difference,points,percentage,shots_attempted,shots_scored,source,placement_basis,notes,scraped_at
amnd-winter-2000-inter-2,norwood-netball-club,,archive:amnd-winter-2000:inter-2:norwood-netball-club:none,Newton Jaguars,6,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-2,cheerio-netball-club,,archive:amnd-winter-2000:inter-2:cheerio-netball-club:none,Cheerio,7,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-2,woods-panthers,,archive:amnd-winter-2000:inter-2:woods-panthers:none,Woods Panthers,8,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-2,harlequin,,archive:amnd-winter-2000:inter-2:harlequin:none,Harlequin,9,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-2,oakdale-netball-club-sa,,archive:amnd-winter-2000:inter-2:oakdale-netball-club-sa:none,Oakdale,10,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-3,contax,1,archive:amnd-winter-2000:inter-3:contax:1,Contax,1,1,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-3,garville,1,archive:amnd-winter-2000:inter-3:garville:1,Garville,2,1,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-3,contax,2,archive:amnd-winter-2000:inter-3:contax:2,Contax,3,1,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-3,tango-netball-club-inc,,archive:amnd-winter-2000:inter-3:tango-netball-club-inc:none,Tango,4,1,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-3,adelaide-cougars,,archive:amnd-winter-2000:inter-3:adelaide-cougars:none,Adelaide Cougars,5,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-3,garville,2,archive:amnd-winter-2000:inter-3:garville:2,Garville,6,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-3,cheerio-netball-club,,archive:amnd-winter-2000:inter-3:cheerio-netball-club:none,Cheerio,7,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-3,oakdale-netball-club-sa,,archive:amnd-winter-2000:inter-3:oakdale-netball-club-sa:none,Oakdale,8,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-3,glandore,,archive:amnd-winter-2000:inter-3:glandore:none,Glandore,9,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-4,contax,,archive:amnd-winter-2000:inter-4:contax:none,Contax,1,1,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-4,matrics,,archive:amnd-winter-2000:inter-4:matrics:none,Matrics,2,1,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-4,garville,,archive:amnd-winter-2000:inter-4:garville:none,Garville,3,1,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-4,cheerio-netball-club,,archive:amnd-winter-2000:inter-4:cheerio-netball-club:none,Cheerio,4,1,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-4,tango-netball-club-inc,,archive:amnd-winter-2000:inter-4:tango-netball-club-inc:none,Tango,5,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-4,clovelly-park,,archive:amnd-winter-2000:inter-4:clovelly-park:none,Clovelly Park,6,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-4,adelaide-cougars,,archive:amnd-winter-2000:inter-4:adelaide-cougars:none,Adelaide Cougars,7,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-4,woods-panthers,,archive:amnd-winter-2000:inter-4:woods-panthers:none,Woods Panthers,8,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-4,oakdale-netball-club-sa,,archive:amnd-winter-2000:inter-4:oakdale-netball-club-sa:none,Oakdale,9,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
